,Name,Price,Image,Link
620,FLOWY TOP,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP078-PINK-FLOWY-TOP_2.jpg?v=1717406851&width=1080,https://lamaretail.com/collections/tops-blouses/products/flowy-top-was24tp078-pink
621,SAFARI SHIRT,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP077-WHITE-MUSLIN-SAFARI-SHIRT_1.jpg?v=1715755289&width=1080,https://lamaretail.com/collections/tops-blouses/products/safari-shirt-was24tp077-white
622,SCHIFFLI FERN SHIRT,"Rs.6,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP106-WHITE-SCHIFFLI-FERN-SHIRT_3.jpg?v=1717397113&width=1080,https://lamaretail.com/collections/tops-blouses/products/schiffli-fern-shirt-was24tp106-white
623,CROCHET SLEEVE BLOUSE,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP080-BLACK-CROCHET-SLEEVE-BLOUSE_12.jpg?v=1717394280&width=1080,https://lamaretail.com/collections/tops-blouses/products/crochet-sleeve-blouse-was24tp080-black
624,AZTEC EMBROIDERED LINEN SHIRT,"Rs.7,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP104-OFF-WHITE-AZTEC-EMBROIDERED-LINEN-SHIRT_4.jpg?v=1717648471&width=1080,https://lamaretail.com/collections/tops-blouses/products/aztec-embroidered-linen-shirt-was24tp104-off-white
625,FLOWY TOP,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP078-BEIGE-FLOWY-TOP_6.jpg?v=1717394110&width=1080,https://lamaretail.com/collections/tops-blouses/products/flowy-top-was24tp078-beige
626,SAFARI SHIRT,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP077-NAVY-MUSLIN-SAFARI-SHIRT_4.jpg?v=1715766867&width=1080,https://lamaretail.com/collections/tops-blouses/products/safari-shirt-was24tp077-navy
627,TWO WAY STRIPED SHIRT,"Rs.6,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WS24TP004-WHITE-TWO-WAY-STRIPED-SHIRT_4.jpg?v=1715323148&width=1080,https://lamaretail.com/collections/tops-blouses/products/two-way-striped-shirt-was24tp004-white
628,SAFARI SHIRT,"Rs.4,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP102-CAMEL-SAFARI-SHIRT_10.jpg?v=1715766178&width=1080,https://lamaretail.com/collections/tops-blouses/products/safari-shirt-was24tp102-camel
629,EVERYDAY PLEATED BLOUSE,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP041-BLACK-EVERYDAY-PLEATED-BLOUSE_7.jpg?v=1715766719&width=1080,https://lamaretail.com/collections/tops-blouses/products/everyday-pleated-blouse-was24tp041-black
630,FLOWY TOP,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP078-BLACK-FLOWY-TOP_2.jpg?v=1717394133&width=1080,https://lamaretail.com/collections/tops-blouses/products/flowy-top-was24tp078-black
631,EVERYDAY PLEATED BLOUSE,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP041-LIGHT-PINK-EVERYDAY-PLEATED-BLOUSE_9.jpg?v=1715766751&width=1080,https://lamaretail.com/collections/tops-blouses/products/everyday-pleated-blouse-was24tp041-pink
632,SAFARI SHIRT,"Rs.4,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP102-NAVY-SAFARI-SHIRT_9_4be7c56c-e796-46a7-8cc1-043c248eab74.jpg?v=1715941796&width=1080,https://lamaretail.com/collections/tops-blouses/products/safari-shirt-was24tp102-navy
633,FLOWY TOP,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP078-GREEN-FLOWY-TOP_4.jpg?v=1717396086&width=1080,https://lamaretail.com/collections/tops-blouses/products/flowy-top-was24tp078-green
634,CURVE FLORAL SHIRT,"Rs.4,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP095-BLUE-PRINTED-BUTTON-DOWN_3_c25b6c3c-60d4-4df3-aa1d-9f027c80208d.jpg?v=1714392002&width=1080,https://lamaretail.com/collections/tops-blouses/products/curve-floral-shirt-was24tp095-blue
635,CURVE MUSLIN SHIRT,"Rs.7,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP090-BLACK-MUSLIN-BASIC-BUTTON-DOWN_6_168f872b-d298-4513-9bcc-94672ba5e5fd.jpg?v=1714395360&width=1080,https://lamaretail.com/collections/tops-blouses/products/curve-muslin-shirt-was24tp090-black
636,CURVE PRINTED SHIRT,"Rs.4,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP096-BLACK-OVERSIZED-PRINTED-BUTTON-DOWN_4_9b459403-6b9a-4b84-8803-35d9f0ef6a88.jpg?v=1714391954&width=1080,https://lamaretail.com/collections/tops-blouses/products/curve-printed-shirt-was24tp096-black
637,CURVE SAFARI LINEN SHIRT,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP094-BEIGE-LINEN-SAFARI-BUTTON-DOWN_8_cdec7df8-7dd5-41c6-ab38-3d7bc7093ef7.jpg?v=1714394872&width=1080,https://lamaretail.com/collections/tops-blouses/products/curve-safari-linen-shirt-was24tp094-beige
